Name,Sq Ft,Price,Location
Sobha Royal Crest,"1,238.3 - 1,362.2 sq.ft.",₹ 2 - 3.59 Cr,Banashankari Bangalore South
Mahaveer Highlands,925.37 - 950.45 sq.ft.,₹ 33.6 - 75.53 L,Kengeri Bangalore West
Sowparnika Indradhanush,"1,075 - 1,142 sq.ft.",₹ 43.29 - 66.01 L,Hoskote Bangalore East
Sattva Bliss,645 sq.ft.,₹ 34.15 - 63.29 L,Budigere Cross Bangalore East
2gTula,"1,825 - 1,883 sq.ft.",₹ 1.35 - 1.51 Cr,Hoodi Bangalore East
Mahaveer Grandis,"1,122 - 1,525 sq.ft.",₹ 95.37 L - 1.3 Cr,7th Phase JP Nagar Bangalore South
Sattva Luxuria,"2,215 - 2,475 sq.ft.",₹ 3.43 - 7.37 Cr,Malleshwaram Bangalore North
Sattva Laurel Heights,"1,268 - 1,382 sq.ft.",₹ 50.51 - 95.35 L,Tumkur Road Bangalore West
Mahaveer Northscape,"1,384 - 1,533 sq.ft.",₹ 38.85 - 76.65 L,Devanahalli Bangalore North
Mahaveer Sitara,"1,766 - 1,994 sq.ft.",₹ 1.94 - 2.68 Cr,5th Phase JP Nagar Bangalore South
Grand Lavasa,"2,050 - 3,000 sq.ft.",₹ 1.26 - 2.67 Cr,Chandapura Bangalore South
Blue Berry Homes,"1,620 - 1,680 sq.ft.",₹ 37.66 - 91.01 L,Hennur Road Bangalore North
Sobha Victoria Park Phase 2,"1,288 - 1,303 sq.ft.",₹ 1.7 - 2.07 Cr,Hennur Road Bangalore North
Sobha Insignia,"1,165 - 1,562 sq.ft.",₹ 3.72 - 6.74 Cr,Bellandur Bangalore East
Sattva Opus,"1,441 - 1,586 sq.ft.",₹ 87.33 L - 1.19 Cr,Tumkur Road Bangalore West
Sobha Sentosa,"964.43 - 1,180.73 sq.ft.",₹ 60 L - 2.07 Cr,Varthur Bangalore East
Prestige Primrose Hills,"901 - 1,104 sq.ft.",₹ 68.5 L - 1.25 Cr,Kanakapura Road Bangalore South
Arvind Bel Air,"1,366 - 1,626 sq.ft.",₹ 82 L - 1.07 Cr,Yelahanka Bangalore North
GMC Aero Square,"1,370 - 1,515 sq.ft.",₹ 43.55 - 75.01 L,Devanahalli Bangalore North
Provident Park Square,"1,100 - 1,314 sq.ft.",₹ 37.78 L - 1.18 Cr,Kanakapura Road Bangalore South
